SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1731946993.551254, -0.011073, -0.594211, -9.811139, -0.003113, 0.002323, -0.001345, , , 
1731946993.561216, -0.033070, -0.582539, -9.804405, -0.005255, 0.003237, -0.000697, , , 
1731946993.571182, -0.014664, -0.569072, -9.817574, -0.005958, 0.003363, 0.000327, , , 
1731946993.581193, -0.021997, -0.552163, -9.804405, -0.004520, 0.004053, -0.001462, , , 
1731946993.591251, -0.030077, -0.551863, -9.789292, -0.003988, 0.003342, -0.000064, , , 
1731946993.601256, -0.020650, -0.553659, -9.807997, -0.003701, 0.002578, -0.002639, , , 
1731946993.611179, -0.025887, -0.581192, -9.810241, -0.003934, 0.003216, -0.001755, , , 
1731946993.621189, -0.022446, -0.587178, -9.810541, -0.003958, 0.002972, -0.000247, , , 
1731946993.631177, -0.027384, -0.602890, -9.825953, -0.004256, 0.004226, -0.001886, , , 
1731946993.641241, -0.018405, -0.584185, -9.800066, -0.003026, 0.004976, -0.000738, , , 
1731946993.651209, -0.024840, -0.564882, -9.812935, -0.003940, 0.000323, -0.003162, , , 
1731946993.661209, -0.021997, -0.551115, -9.803059, -0.002436, 0.004708, -0.000166, , , 
1731946993.671205, -0.024840, -0.548721, -9.812037, -0.003813, 0.002691, -0.001606, , , 
1731946993.681271, -0.043096, -0.562937, -9.806800, -0.004169, 0.004666, -0.001938, , , 
1731946993.691244, -0.036512, -0.574010, -9.813982, -0.004362, 0.003202, -0.000673, , , 
1731946993.701192, -0.021548, -0.580145, -9.809044, -0.003586, 0.003757, -0.001333, , , 
1731946993.711192, -0.015113, -0.574758, -9.812187, -0.004031, 0.002765, 0.000106, , , 
1731946993.721191, -0.015263, -0.593014, -9.803807, -0.005253, 0.004030, -0.001700, , , 
1731946993.731187, -0.032471, -0.585682, -9.792883, -0.003262, 0.003865, -0.001521, , , 
1731946993.741255, -0.018256, -0.549320, -9.815329, -0.005417, 0.003709, -0.000911, , , 
1731946993.751220, -0.035314, -0.560393, -9.820866, -0.002870, 0.002460, -0.001617, , , 
1731946993.761215, -0.026486, -0.552911, -9.804405, -0.002805, 0.003754, -0.000839, , , 
1731946993.771033, -0.026635, -0.580744, -9.809792, -0.003199, 0.005374, -0.001984, , , 
1731946993.781210, -0.024989, -0.583587, -9.805154, -0.001033, 0.002476, 0.000925, , , 
1731946993.791251, -0.024391, -0.574608, -9.814581, -0.002854, 0.004017, -0.000971, , , 
1731946993.801269, -0.032322, -0.579098, -9.808296, -0.004849, 0.003771, 0.000976, , , 
1731946993.811217, -0.023194, -0.564283, -9.789142, -0.004669, 0.006573, -0.000866, , , 
1731946993.821202, -0.035913, -0.579098, -9.806650, -0.003479, 0.003650, -0.001342, , , 
1731946993.831194, -0.024989, -0.574608, -9.813833, -0.004343, 0.003844, -0.000081, , , 
1731946993.840846, -0.030227, -0.567426, -9.810241, -0.002961, 0.001988, 0.000002, , , 
1731946993.851172, -0.033668, -0.568922, -9.820417, -0.002766, 0.003676, -0.000646, , , 
1731946993.860906, -0.026935, -0.558298, -9.802311, -0.003928, 0.004546, -0.001852, , , 
1731946993.870831, -0.028880, -0.569820, -9.809643, -0.005289, 0.003593, -0.002414, , , 
1731946993.881199, -0.024989, -0.580444, -9.814282, -0.003994, 0.003490, -0.001985, , , 
1731946993.891236, -0.027982, -0.577003, -9.804256, -0.004078, 0.003737, -0.002886, , , 
1731946993.901126, -0.027833, -0.568773, -9.803358, -0.002963, 0.003027, -0.000827, , , 
1731946993.911202, -0.034566, -0.580145, -9.809493, -0.005027, 0.005875, -0.001161, , , 
1731946993.921267, -0.027384, -0.568024, -9.803208, -0.004679, 0.004130, -0.000093, , , 
1731946993.931214, -0.023194, -0.557550, -9.799318, -0.004682, 0.004850, -0.001992, , , 
1731946993.941254, -0.015413, -0.557550, -9.819519, -0.003969, 0.003780, -0.000097, , , 
1731946993.950974, -0.031873, -0.561590, -9.804405, -0.004668, 0.002798, -0.000165, , , 
