SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1731955633.576155, 0.007482, 0.036661, -9.813683, -0.005653, 0.002839, -0.001530, , , 
1731955633.586163, 0.001047, 0.034267, -9.828647, -0.004713, 0.003568, -0.001159, , , 
1731955633.596158, -0.009128, 0.028132, -9.831191, -0.002421, 0.003565, -0.001591, , , 
1731955633.606155, 0.017657, 0.021847, -9.827899, -0.003452, 0.003362, -0.001113, , , 
1731955633.616157, 0.016759, -0.001796, -9.819519, -0.003696, 0.003978, 0.001823, , , 
1731955633.626155, 0.013318, 0.029778, -9.832537, -0.004207, 0.003618, -0.000400, , , 
1731955633.636191, 0.007781, 0.039953, -9.826402, -0.004064, 0.004829, -0.000322, , , 
1731955633.646158, 0.005686, 0.029479, -9.824756, -0.003753, 0.003480, -0.001500, , , 
1731955633.656156, -0.004040, 0.007332, -9.824607, -0.004088, 0.003939, -0.001210, , , 
1731955633.666154, 0.019303, 0.018256, -9.818172, -0.003070, 0.004705, -0.001516, , , 
1731955633.676156, 0.003591, 0.011971, -9.818022, -0.003735, 0.003662, -0.001403, , , 
1731955633.686154, 0.006734, 0.026187, -9.824607, -0.002968, 0.003535, -0.000634, , , 
1731955633.696180, 0.006734, 0.039804, -9.824307, -0.003251, 0.005258, -0.002243, , , 
1731955633.706165, 0.001047, 0.018555, -9.836578, -0.003186, 0.004397, 0.001181, , , 
1731955633.716038, 0.016011, -0.001047, -9.827899, -0.003873, 0.003885, -0.000621, , , 
1731955633.726208, 0.019154, 0.014365, -9.822362, -0.003183, 0.003802, -0.001445, , , 
1731955633.736165, 0.017508, 0.029928, -9.827001, -0.004164, 0.004330, -0.001136, , , 
1731955633.746183, 0.006883, 0.028880, -9.819519, -0.002720, 0.003732, -0.001393, , , 
1731955633.756155, 0.005836, 0.017059, -9.827599, -0.003930, 0.003847, -0.001830, , , 
1731955633.766160, 0.008829, 0.004938, -9.818771, -0.003026, 0.004476, -0.000640, , , 
1731955633.776110, 0.008080, 0.000599, -9.824008, -0.002529, 0.004476, -0.002570, , , 
1731955633.786166, 0.015263, 0.025139, -9.819818, -0.004606, 0.003139, -0.001933, , , 
1731955633.796161, 0.004938, 0.032621, -9.821763, -0.003631, 0.004503, -0.001498, , , 
1731955633.806157, 0.005686, 0.024241, -9.821614, -0.003796, 0.005608, -0.001283, , , 
1731955633.816159, 0.005836, 0.013916, -9.828048, -0.004016, 0.003795, -0.000571, , , 
1731955633.826019, 0.015562, 0.013018, -9.819369, -0.002894, 0.004617, -0.000357, , , 
1731955633.836165, 0.018555, 0.019303, -9.832537, -0.004325, 0.004304, -0.001210, , , 
1731955633.845740, 0.001646, 0.023343, -9.817125, -0.003157, 0.004048, -0.000524, , , 
1731955633.856159, 0.007482, 0.027234, -9.827300, -0.004862, 0.003492, -0.000080, , , 
1731955633.866165, 0.013916, 0.010624, -9.823110, -0.003357, 0.003943, -0.001718, , , 
1731955633.875933, 0.003442, 0.009128, -9.817424, -0.004420, 0.003402, -0.001966, , , 
1731955633.886246, 0.009427, 0.026635, -9.822811, -0.003440, 0.004303, -0.000470, , , 
1731955633.896236, 0.012570, 0.027533, -9.815778, -0.002802, 0.004041, -0.000002, , , 
1731955633.906168, 0.015862, 0.022446, -9.818920, -0.003164, 0.003191, -0.001370, , , 
1731955633.916163, 0.017957, 0.013467, -9.821614, -0.003620, 0.003042, -0.000876, , , 
1731955633.925861, 0.009876, 0.009726, -9.822063, -0.003958, 0.003586, -0.001267, , , 
1731955633.936240, 0.012719, 0.017208, -9.828497, -0.003272, 0.004421, 0.000728, , , 
1731955633.946162, 0.006285, 0.019603, -9.818322, -0.004988, 0.005051, -0.001171, , , 
1731955633.956156, -0.000150, 0.019004, -9.820716, -0.003670, 0.003291, 0.000483, , , 
1731955633.966206, 0.005836, 0.009128, -9.814581, -0.003441, 0.002973, -0.001530, , , 
1731955633.975739, 0.005836, 0.009128, -9.814581, -0.003324, 0.004742, -0.000440, , , 
1731955633.986156, 0.004190, 0.019453, -9.809942, -0.003699, 0.003791, -0.000080, , , 
1731955633.996159, 0.005088, 0.023343, -9.825355, -0.003870, 0.003018, -0.000511, , , 
1731955634.006154, 0.005387, 0.018555, -9.816227, -0.002932, 0.004546, -0.000542, , , 
1731955634.016156, 0.013318, 0.008380, -9.827300, -0.004557, 0.004333, -0.000751, , , 
1731955634.025688, 0.006285, 0.019603, -9.816526, -0.004138, 0.005202, -0.001281, , , 
1731955634.036154, 0.021398, 0.023942, -9.810541, -0.002986, 0.004702, -0.001393, , , 
1731955634.046154, 0.015113, 0.015413, -9.822063, -0.003526, 0.003199, 0.000523, , , 
1731955634.056154, 0.003442, 0.016610, -9.813533, -0.002776, 0.003157, -0.000188, , , 
1731955634.066173, 0.018705, 0.016759, -9.821015, -0.004675, 0.003688, -0.002864, , , 
1731955634.075599, 0.018705, 0.016759, -9.821015, -0.003156, 0.002736, -0.001733, , , 
1731955634.086220, 0.019752, 0.016161, -9.832986, -0.004518, 0.002998, 0.000729, , , 
1731955634.096151, 0.016011, 0.028880, -9.827450, -0.003213, 0.003624, -0.000077, , , 
1731955634.106153, 0.003442, 0.020800, -9.836877, -0.003292, 0.004637, 0.000996, , , 
1731955634.116152, 0.003891, 0.008380, -9.822811, -0.005442, 0.002669, -0.000693, , , 
1731955634.125551, 0.003891, 0.008380, -9.822811, -0.003259, 0.004906, -0.000494, , , 
1731955634.136154, 0.000599, 0.006285, -9.823709, -0.002741, 0.003809, -0.001385, , , 
1731955634.146153, 0.014515, 0.018854, -9.818621, -0.003682, 0.004980, -0.001552, , , 
1731955634.156161, 0.002693, 0.023493, -9.814730, -0.003459, 0.002762, -0.000401, , , 
1731955634.166152, 0.011971, 0.010175, -9.811887, -0.006675, 0.003901, -0.000952, , , 
1731955634.175370, 0.011971, 0.010175, -9.811887, -0.003421, 0.005034, -0.001610, , , 
1731955634.186227, 0.008080, 0.019453, -9.820866, -0.003280, 0.003191, -0.001344, , , 
1731955634.196177, 0.012719, 0.027384, -9.837026, -0.002074, 0.003831, -0.000564, , , 
1731955634.205577, 0.012719, 0.027384, -9.837026, -0.003244, 0.004167, -0.002091, , , 
1731955634.216197, 0.014964, 0.005986, -9.818322, -0.003145, 0.003564, -0.001610, , , 
1731955634.225354, 0.014964, 0.005986, -9.818322, -0.004046, 0.002931, -0.001345, , , 
1731955634.236154, 0.012270, 0.018405, -9.825355, -0.002873, 0.003009, -0.001076, , , 
1731955634.246154, 0.024690, 0.035464, -9.818322, -0.004941, 0.005863, -0.001615, , , 
1731955634.256226, 0.005387, 0.031274, -9.818471, -0.003406, 0.005065, -0.000204, , , 
1731955634.266153, 0.002693, 0.016610, -9.829545, -0.004041, 0.004825, -0.001044, , , 
1731955634.275255, 0.002693, 0.016610, -9.829545, -0.004118, 0.004833, -0.001601, , , 
