loggingTime(txt),loggingSample(N),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),magnetometerTimestamp_sinceReboot(s),magnetometerX(µT),magnetometerY(µT),magnetometerZ(µT)
2024-11-13 15:02:42.499 +0100,1,69241.25235875,-0.0093841552734375,-0.0267333984375,-1.001220703125,69241.24365475001,0.003550260094925761,-0.002970756264403462,-0.001915345434099436,69241.24796975001,323.2360229492188,-217.9823913574219,-159.1264495849609
2024-11-13 15:02:42.501 +0100,2,69241.26230675001,-0.008575439453125,-0.0269622802734375,-1.001312255859375,69241.25360175001,0.0007640608819201589,-0.001265001483261585,-0.0006119944155216217,69241.25825375,323.1477661132812,-218.0512237548828,-159.0180511474609
2024-11-13 15:02:42.501 +0100,3,69241.27225475,-0.0084075927734375,-0.0282440185546875,-1.003860473632812,69241.26354975,0.000177100213477388,-0.0008500810363329947,-0.001537709147669375,69241.26853775,323.381591796875,-217.9129943847656,-158.9362335205078
2024-11-13 15:02:42.511 +0100,4,69241.28220175,-0.0074920654296875,-0.02667236328125,-0.9999847412109375,69241.27349775001,0.001714543090201914,-0.003061303636059165,-0.001317998394370079,69241.27882075,323.0935668945312,-218.0864562988281,-158.9502258300781
2024-11-13 15:02:42.518 +0100,5,69241.29214975001,-0.009063720703125,-0.0256195068359375,-0.99664306640625,69241.28344475001,-0.0002577939885668457,-0.001903361175209284,-0.0006647250265814364,69241.28910575001,323.22216796875,-218.0847015380859,-158.9958648681641
2024-11-13 15:02:42.528 +0100,6,69241.30209675001,-0.0086517333984375,-0.0256195068359375,-0.99835205078125,69241.30333975001,-0.0001557949290145189,-0.001271659391932189,0.0008404936525039375,69241.29938975,323.1651611328125,-217.8662719726562,-158.8768463134766
2024-11-13 15:02:42.538 +0100,7,69241.31204475001,-0.0077972412109375,-0.026580810546875,-0.997344970703125,69241.30333975001,-0.0001557949290145189,-0.001271659391932189,0.0008404936525039375,69241.30967375,323.3128051757812,-217.8620758056641,-159.1459655761719
2024-11-13 15:02:42.550 +0100,8,69241.32199275,-0.0070343017578125,-0.02813720703125,-0.99713134765625,69241.31328775,-0.001097222324460745,-0.00321896281093359,0.002426672261208296,69241.31995675,323.2476806640625,-217.9402770996094,-158.9307556152344
2024-11-13 15:02:42.557 +0100,9,69241.33193975,-0.0070037841796875,-0.0282745361328125,-0.9990997314453125,69241.32323575001,0.001293497276492417,-0.002757703186944127,-0.001235706731677055,69241.33023975001,323.4484252929688,-217.8292694091797,-158.9646759033203
2024-11-13 15:02:42.567 +0100,10,69241.34188775001,-0.0078277587890625,-0.027099609375,-1.002899169921875,69241.33318275001,0.0004178499802947044,-0.001633316627703607,-0.001810416928492486,69241.34052275,323.22021484375,-217.9333801269531,-158.8594360351562
2024-11-13 15:02:42.577 +0100,11,69241.35183475001,-0.00640869140625,-0.0275421142578125,-1.001541137695312,69241.34313075,0.001090298173949122,-0.00370126124471426,-6.657902849838138e-05,69241.35080675001,323.5545349121094,-217.8750305175781,-159.1544189453125
2024-11-13 15:02:42.587 +0100,12,69241.36178275,-0.005767822265625,-0.026336669921875,-1.000167846679688,69241.35307775,0.001142762368544936,-0.00222400575876236,-0.0003262372338213027,69241.36108975,323.1486511230469,-217.8825378417969,-158.991943359375
2024-11-13 15:02:42.597 +0100,13,69241.37173075,-0.00726318359375,-0.026153564453125,-0.9993896484375,69241.36302575,0.001625859877094626,-0.001193362521007657,0.0009419600828550756,69241.37137375001,323.4085998535156,-217.8886871337891,-158.7122802734375
2024-11-13 15:02:42.615 +0100,14,69241.38167775,-0.007476806640625,-0.0253143310546875,-1.001251220703125,69241.37297375001,0.002489789389073849,-0.0008910936885513365,-0.001229847781360149,69241.38165575001,323.1194763183594,-217.8182220458984,-158.8687286376953
2024-11-13 15:02:42.617 +0100,15,69241.39162575001,-0.0059661865234375,-0.0252532958984375,-0.9984588623046875,69241.38292075001,-0.001452754368074238,-0.003350789193063974,6.231796578504145e-05,69241.39193875001,323.3609008789062,-217.8506774902344,-159.0032501220703
2024-11-13 15:02:42.627 +0100,16,69241.40157375,-0.0076904296875,-0.0272064208984375,-0.9972381591796875,69241.39286875,0.0009131979313679039,-0.001984054921194911,-0.001741440966725349,69241.40222175,323.0582275390625,-217.9099273681641,-159.0214233398438
2024-11-13 15:02:42.637 +0100,17,69241.41152075,-0.0069122314453125,-0.02825927734375,-0.9979705810546875,69241.40281675001,0.004172907210886478,-0.0009432916413061321,-0.001806422136723995,69241.41250475,323.3591918945312,-217.9403839111328,-159.1602478027344
2024-11-13 15:02:42.647 +0100,18,69241.42146875001,-0.007354736328125,-0.028076171875,-0.9991912841796875,69241.41276375001,0.001144094043411314,0.0005214469274505973,0.0004327636852394789,69241.42278775001,323.0380249023438,-218.0146331787109,-158.9438934326172
2024-11-13 15:02:42.657 +0100,19,69241.43141575,-0.00665283203125,-0.0270843505859375,-1.000747680664062,69241.42271175,0.001657817745581269,-0.002359827049076557,-0.002514290390536189,69241.43307075,323.403076171875,-217.9270629882812,-159.0365753173828
2024-11-13 15:02:42.671 +0100,20,69241.44136375001,-0.007568359375,-0.0267333984375,-1.00067138671875,69241.43265875001,0.0007105313707143068,-0.0005411543534137309,-0.001403219532221556,69241.44335275001,322.9797973632812,-218.0000457763672,-159.2109222412109
