loggingTime(txt),loggingSample(N),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),magnetometerTimestamp_sinceReboot(s),magnetometerX(µT),magnetometerY(µT),magnetometerZ(µT)
2024-10-16 18:49:06.164 +0200,1,812816.6254616667,0.003753662109375,-0.02398681640625,-0.9994659423828125,812816.6242186667,0.0007568703731521964,-0.0020809939596802,-0.0002964098239317536,812816.6203776667,298.927490234375,-225.0865325927734,-215.1769409179688
2024-10-16 18:49:06.166 +0200,2,812816.6354106667,0.0032501220703125,-0.0267791748046875,-0.9981842041015625,812816.6341676667,-0.0004974784678779542,-0.005021656397730112,-0.001112668658606708,812816.6306556667,298.7298889160156,-225.1757507324219,-214.973876953125
2024-10-16 18:49:06.166 +0200,3,812816.6453596667,0.00274658203125,-0.02593994140625,-0.9992828369140625,812816.6441166668,0.002238386776298285,-0.002304699504747987,-0.003710049670189619,812816.6409336667,299.0635681152344,-224.9671325683594,-215.0873413085938
2024-10-16 18:49:06.169 +0200,4,812816.6553086668,0.001373291015625,-0.025390625,-0.9987640380859375,812816.6540656667,0.002252501668408513,-0.002216282533481717,-0.001034638029523194,812816.6512116668,298.8140258789062,-225.0978851318359,-214.9249877929688
2024-10-16 18:49:06.179 +0200,5,812816.6652586667,0.00140380859375,-0.0249481201171875,-0.9990234375,812816.6640156667,-0.0002042644482571632,-0.004748948849737644,-0.001999235013499856,812816.6614896667,298.8794555664062,-225.0740356445312,-214.9202423095703
2024-10-16 18:49:06.189 +0200,6,812816.6752066667,0.0007476806640625,-0.0251007080078125,-0.999359130859375,812816.6739636667,0.001001082244329154,-0.001626392477191985,-0.0001448759576305747,812816.6717686667,298.7831420898438,-224.9562377929688,-214.8551330566406
2024-10-16 18:49:06.198 +0200,7,812816.6851566667,0.0015411376953125,-0.02520751953125,-0.9993133544921875,812816.6839136668,0.001943841227330267,-0.004296744242310524,-0.002103364560753107,812816.6820476667,298.8621826171875,-224.9586639404297,-215.0594177246094
2024-10-16 18:49:06.209 +0200,8,812816.6951056668,0.0008697509765625,-0.0234832763671875,-1.000518798828125,812816.6938626667,-0.0003030677326023579,-0.002862898167222738,-0.001906024408526719,812816.6923276667,298.8870239257812,-224.9494018554688,-214.9159851074219
2024-10-16 18:49:06.218 +0200,9,812816.7050546667,0.0021820068359375,-0.02313232421875,-0.9994354248046875,812816.7038116667,0.0009523464250378311,-0.003716441337019205,-0.001298024668358266,812816.7026056667,298.9884033203125,-225.0537414550781,-215.1353759765625
2024-10-16 18:49:06.228 +0200,10,812816.7150036667,0.00140380859375,-0.02484130859375,-0.999359130859375,812816.7137606667,0.003414172446355224,-0.003151052165776491,-0.002502838848158717,812816.7128846667,298.97900390625,-224.900390625,-214.8612823486328
2024-10-16 18:49:06.238 +0200,11,812816.7249526667,0.0011444091796875,-0.0252838134765625,-0.9980926513671875,812816.7237096668,0.001204814063385129,-0.001700162072665989,3.195793397026137e-05,812816.7231636667,298.9080810546875,-225.0151519775391,-214.8744354248047
2024-10-16 18:49:06.248 +0200,12,812816.7349016668,0.00244140625,-0.0246734619140625,-0.9988555908203125,812816.7336586667,-0.0009606021922081709,-0.0003733751946128905,0.001314802677370608,812816.7334426667,298.8823852539062,-225.0384368896484,-215.0864868164062
2024-10-16 18:49:06.258 +0200,13,812816.7448506667,0.001678466796875,-0.0264129638671875,-0.9983367919921875,812816.7436076667,0.001238636206835508,-0.002659698948264122,-0.002041312865912914,812816.7437216667,298.848876953125,-225.1707000732422,-215.1645965576172
2024-10-16 18:49:06.268 +0200,14,812816.7547996667,0.002960205078125,-0.0245208740234375,-0.9976654052734375,812816.7535566667,0.001708417781628668,-0.003108441596850753,-0.0033318807836622,812816.7539996667,298.9490966796875,-225.1090698242188,-214.9603271484375
2024-10-16 18:49:06.284 +0200,15,812816.7647486667,0.0040435791015625,-0.0258941650390625,-0.998138427734375,812816.7635056667,0.002386725042015314,-0.0004956142511218786,0.0004063983797095716,812816.7642776667,298.77392578125,-225.1620941162109,-214.9442291259766
