epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1730980647050,2024-11-07T12:57:27.050,0.410,0.549,-0.122,0.183
1730980647055,2024-11-07T12:57:27.055,0.415,0.671,-0.122,0.244
1730980647060,2024-11-07T12:57:27.060,0.420,0.549,-0.061,0.183
1730980647065,2024-11-07T12:57:27.065,0.425,0.610,-0.183,0.183
1730980647070,2024-11-07T12:57:27.070,0.430,0.732,-0.183,0.305
1730980647075,2024-11-07T12:57:27.075,0.435,0.488,-0.061,0.305
1730980647080,2024-11-07T12:57:27.080,0.440,0.610,-0.122,0.183
1730980647085,2024-11-07T12:57:27.085,0.445,0.488,-0.061,0.244
1730980647090,2024-11-07T12:57:27.090,0.450,0.366,-0.061,0.305
1730980647095,2024-11-07T12:57:27.095,0.455,0.549,-0.183,0.183
1730980647100,2024-11-07T12:57:27.100,0.460,0.610,-0.183,0.244
1730980647105,2024-11-07T12:57:27.105,0.465,0.610,-0.244,0.244
1730980647110,2024-11-07T12:57:27.110,0.470,0.549,-0.122,0.183
1730980647115,2024-11-07T12:57:27.115,0.475,0.671,-0.061,0.244
1730980647120,2024-11-07T12:57:27.120,0.480,0.671,-0.183,0.244
1730980647125,2024-11-07T12:57:27.125,0.485,0.732,-0.244,0.244
1730980647130,2024-11-07T12:57:27.130,0.490,0.488,-0.122,0.244
1730980647135,2024-11-07T12:57:27.135,0.495,0.610,-0.122,0.244
1730980647140,2024-11-07T12:57:27.140,0.500,0.671,-0.122,0.244
1730980647145,2024-11-07T12:57:27.145,0.505,0.671,-0.061,0.305
1730980647150,2024-11-07T12:57:27.150,0.510,0.671,-0.061,0.244
1730980647155,2024-11-07T12:57:27.155,0.515,0.549,-0.122,0.366
1730980647160,2024-11-07T12:57:27.160,0.520,0.671,-0.122,0.244
1730980647165,2024-11-07T12:57:27.165,0.525,0.732,0.000,0.183
1730980647170,2024-11-07T12:57:27.170,0.530,0.549,-0.122,0.183
1730980647175,2024-11-07T12:57:27.175,0.535,0.549,-0.183,0.305
1730980647180,2024-11-07T12:57:27.180,0.540,0.427,-0.122,0.061
1730980647185,2024-11-07T12:57:27.185,0.545,0.427,0.000,0.183
1730980647190,2024-11-07T12:57:27.190,0.550,0.671,-0.061,0.122
1730980647195,2024-11-07T12:57:27.195,0.555,0.488,-0.122,0.183
1730980647200,2024-11-07T12:57:27.200,0.560,0.610,-0.061,0.244
1730980647205,2024-11-07T12:57:27.205,0.565,0.610,-0.122,0.244
1730980647210,2024-11-07T12:57:27.210,0.570,0.610,0.000,0.305
1730980647215,2024-11-07T12:57:27.215,0.575,0.549,-0.122,0.366
1730980647220,2024-11-07T12:57:27.220,0.580,0.732,-0.061,0.183
1730980647225,2024-11-07T12:57:27.225,0.585,0.671,-0.122,0.122
1730980647230,2024-11-07T12:57:27.230,0.590,0.671,-0.122,0.244
1730980647235,2024-11-07T12:57:27.235,0.595,0.610,-0.061,0.244
1730980647240,2024-11-07T12:57:27.240,0.600,0.671,0.061,0.183
1730980647245,2024-11-07T12:57:27.245,0.605,0.610,-0.122,0.244
1730980647250,2024-11-07T12:57:27.250,0.610,0.610,-0.122,0.183
1730980647255,2024-11-07T12:57:27.255,0.615,0.549,-0.122,0.366
1730980647260,2024-11-07T12:57:27.260,0.620,0.610,-0.122,0.244
1730980647265,2024-11-07T12:57:27.265,0.625,0.549,-0.122,0.305
1730980647270,2024-11-07T12:57:27.270,0.630,0.610,-0.122,0.183
1730980647275,2024-11-07T12:57:27.275,0.635,0.732,-0.183,0.183
1730980647280,2024-11-07T12:57:27.280,0.640,0.793,-0.183,0.183
1730980647285,2024-11-07T12:57:27.285,0.645,0.732,-0.183,0.305
1730980647290,2024-11-07T12:57:27.290,0.650,0.610,-0.183,0.244
1730980647295,2024-11-07T12:57:27.295,0.655,0.610,-0.183,0.183
1730980647300,2024-11-07T12:57:27.300,0.660,0.610,-0.183,0.183
1730980647305,2024-11-07T12:57:27.305,0.665,0.549,0.000,0.183
1730980647310,2024-11-07T12:57:27.310,0.670,0.488,-0.061,0.244
1730980647315,2024-11-07T12:57:27.315,0.675,0.488,-0.244,0.183
1730980647320,2024-11-07T12:57:27.320,0.680,0.610,-0.305,0.244
1730980647325,2024-11-07T12:57:27.325,0.685,0.549,-0.183,0.366
1730980647330,2024-11-07T12:57:27.330,0.690,0.610,-0.183,0.244
1730980647335,2024-11-07T12:57:27.335,0.695,0.610,-0.183,0.244
1730980647340,2024-11-07T12:57:27.340,0.700,0.671,-0.183,0.305
1730980647345,2024-11-07T12:57:27.345,0.705,0.427,-0.122,0.305
1730980647350,2024-11-07T12:57:27.350,0.710,0.549,-0.061,0.183
1730980647355,2024-11-07T12:57:27.355,0.715,0.549,-0.122,0.183
1730980647360,2024-11-07T12:57:27.360,0.720,0.549,-0.061,0.183
1730980647365,2024-11-07T12:57:27.365,0.725,0.610,-0.061,0.244
1730980647370,2024-11-07T12:57:27.370,0.730,0.610,-0.061,0.244
1730980647375,2024-11-07T12:57:27.375,0.735,0.488,-0.122,0.183
1730980647380,2024-11-07T12:57:27.380,0.740,0.610,-0.183,0.244
1730980647385,2024-11-07T12:57:27.385,0.745,0.671,-0.122,0.244
1730980647390,2024-11-07T12:57:27.390,0.750,0.610,-0.122,0.244
1730980647395,2024-11-07T12:57:27.395,0.755,0.488,-0.183,0.183
1730980647400,2024-11-07T12:57:27.400,0.760,0.671,-0.122,0.183
