epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1730980850872,2024-11-07T13:00:50.872,0.415,0.663,-0.133,0.846
1730980850877,2024-11-07T13:00:50.877,0.420,0.732,-0.171,0.492
1730980850882,2024-11-07T13:00:50.882,0.425,0.553,-0.179,0.160
1730980850887,2024-11-07T13:00:50.887,0.430,0.545,0.019,0.259
1730980850892,2024-11-07T13:00:50.892,0.435,0.648,-0.126,0.232
1730980850897,2024-11-07T13:00:50.897,0.440,0.629,-0.137,0.278
1730980850902,2024-11-07T13:00:50.902,0.445,0.614,-0.015,0.328
1730980850907,2024-11-07T13:00:50.907,0.450,0.640,-0.053,0.240
1730980850912,2024-11-07T13:00:50.912,0.455,0.595,-0.133,0.263
1730980850917,2024-11-07T13:00:50.917,0.460,0.774,-0.088,0.225
1730980850922,2024-11-07T13:00:50.922,0.465,0.755,-0.019,0.191
1730980850927,2024-11-07T13:00:50.927,0.470,0.598,-0.034,0.259
1730980850932,2024-11-07T13:00:50.932,0.475,0.560,-0.008,0.301
1730980850937,2024-11-07T13:00:50.937,0.480,0.751,-0.114,0.244
1730980850942,2024-11-07T13:00:50.942,0.485,0.522,-0.133,0.164
1730980850947,2024-11-07T13:00:50.947,0.490,0.633,-0.210,0.244
1730980850952,2024-11-07T13:00:50.952,0.495,0.671,-0.240,0.282
1730980850957,2024-11-07T13:00:50.957,0.500,0.412,-0.221,0.305
1730980850962,2024-11-07T13:00:50.962,0.505,0.537,-0.122,0.320
1730980850967,2024-11-07T13:00:50.967,0.510,0.667,-0.084,0.198
1730980850972,2024-11-07T13:00:50.972,0.515,0.595,-0.107,0.267
1730980850977,2024-11-07T13:00:50.977,0.520,0.541,-0.141,0.252
1730980850982,2024-11-07T13:00:50.982,0.525,0.587,-0.030,0.267
1730980850987,2024-11-07T13:00:50.987,0.530,0.442,-0.183,0.240
1730980850992,2024-11-07T13:00:50.992,0.535,0.556,-0.027,0.263
1730980850997,2024-11-07T13:00:50.997,0.540,0.606,0.042,0.236
1730980851002,2024-11-07T13:00:51.002,0.545,0.629,-0.015,0.217
1730980851007,2024-11-07T13:00:51.007,0.550,0.549,-0.080,0.187
1730980851012,2024-11-07T13:00:51.012,0.555,0.621,-0.111,0.183
1730980851017,2024-11-07T13:00:51.017,0.560,0.777,-0.194,0.297
1730980851022,2024-11-07T13:00:51.022,0.565,0.663,-0.149,0.381
1730980851027,2024-11-07T13:00:51.027,0.570,0.549,-0.095,0.202
1730980851032,2024-11-07T13:00:51.032,0.575,0.549,-0.099,0.137
1730980851037,2024-11-07T13:00:51.037,0.580,0.629,0.023,0.202
1730980851042,2024-11-07T13:00:51.042,0.585,0.450,-0.061,0.232
1730980851047,2024-11-07T13:00:51.047,0.590,0.572,-0.030,0.183
1730980851052,2024-11-07T13:00:51.052,0.595,0.667,-0.065,0.274
1730980851057,2024-11-07T13:00:51.057,0.600,0.598,-0.076,0.335
1730980851062,2024-11-07T13:00:51.062,0.605,0.610,-0.171,0.221
1730980851067,2024-11-07T13:00:51.067,0.610,0.522,-0.126,0.213
1730980851072,2024-11-07T13:00:51.072,0.615,0.655,-0.206,0.000
1730980851077,2024-11-07T13:00:51.077,0.620,0.724,-0.099,0.313
1730980851082,2024-11-07T13:00:51.082,0.625,0.724,-0.019,0.370
1730980851087,2024-11-07T13:00:51.087,0.630,0.659,-0.069,0.202
1730980851092,2024-11-07T13:00:51.092,0.635,0.636,-0.038,0.179
1730980851097,2024-11-07T13:00:51.097,0.640,0.602,-0.133,0.229
1730980851102,2024-11-07T13:00:51.102,0.645,0.617,0.008,0.328
1730980851107,2024-11-07T13:00:51.107,0.650,0.625,-0.046,0.191
1730980851112,2024-11-07T13:00:51.112,0.655,0.568,-0.130,0.160
1730980851117,2024-11-07T13:00:51.117,0.660,0.492,-0.114,0.236
1730980851122,2024-11-07T13:00:51.122,0.665,0.595,-0.095,0.160
1730980851127,2024-11-07T13:00:51.127,0.670,0.686,-0.046,0.248
1730980851132,2024-11-07T13:00:51.132,0.675,0.511,-0.225,0.309
